0.wav|Aṅgas, Magadhans, Kasis, Kosalans, Vajjians, Mallans, Cetis, Vaṁsās,
31.wav|the Blessed One was staying at Rājagaha, in Jīvaka Komārabhacca's mango grove, with a large Saṅgha of monks.
32.wav|The brahman Sundarika Bhāradvāja (thinking,) 'This venerable one is shaven. This venerable one is a shaveling,
33.wav|Venerable Sabhiya Kaccāna was staying at Ñātika. Then Vacchagotta the wanderer went to him and, on arrival, exchanged courteous greetings with him.
34.wav|explanations, verses, spontaneous exclamations [udāna], quotations [itivuttaka], birth stories [jātaka],
35.wav|THERAGĀTHĀ 16:8  AṄGULIMĀLA. Aṅgulimāla: 'While walking, contemplative, you say, 'I have stopped.' But when I have stopped you say that I haven't.
36.wav|THERĪGĀTHĀ 13:1  AMBAPĀLĪ. Black was my hair —the color of bees— & curled at the tips; with age, it looked like coarse hemp.
37.wav|for instead, I should be asked, 'Who lives in greater pleasure: King Seniya Bimbisāra of Magadha or master Gotama?'
38.wav|As he was sitting there he said to the Blessed One, 'Lord, Sunakkhatta the Licchavi has recently left this Dhamma & Vinaya.
39.wav|'Monks, conquered by three forms of false Dhamma–his mind overwhelmed–Devadatta is incurably doomed to deprivation, to hell, for an eon.
40.wav|These ten dhammas—true, genuine, real, not unreal, not otherwise—have been rightly awakened to by the Tathāgata.
41.wav|'Past Buddhas, future Buddhas, & he who is the Buddha now, removing the sorrow of many— all have dwelt, will dwell, he dwells, revering the true Dhamma.
42.wav|Venerable Bhaddiya, Kāḷigodhā's son, on going to the wilderness, to the root of a tree, would repeatedly exclaim, 'What bliss! What bliss!'
43.wav|The Licchavis of Vesālī heard, 'The Blessed One, they say, has totally unbound in Kusinārā.
44.wav|'One time, Ānanda, I was staying in Uruvelā on the bank of the Nerañjarā River at the Goat-herd Banyan, newly awakened.
45.wav|'Friend Uddaka, is this the extent to which Rāma entered & dwelled in this Dhamma, having realized it for himself through direct knowledge?'
46.wav|AMAZING & ASTOUNDING QUALITIES. ACCHARIY'ABBHŪTADHAMMA SUTTA  MAJJHIMA NIKĀYA 123
47.wav|On one occasion Venerable Sāriputta and Venerable Mahā Koṭṭhita were staying near Vārāṇasī in the Deer Park at Isipatana.
48.wav|The effluents by which—if they were not abandoned—I would be a gandhabba… a yakkha… a human being: Those are abandoned by me,
49.wav|'What do you think, Assalāyana? Have you heard that in Yona & Kamboja and other outlying countries there are only two castes—masters & slaves—
50.wav|Lord, the monk named Puṇṇa Mantāṇiputta [Mantāṇi's son] is esteemed by the native-land monks
51.wav|Saccaka the Nigaṇṭha-son, walking & wandering around Vesālī to exercise his legs, saw Venerable Assaji coming from afar.
52.wav|'Uttiya, I haven't declared that 'After death a Tathāgata neither does nor does not exist: Only this is true; anything otherwise is worthless.'
53.wav|[The Buddha:] 'Poṭṭhapāda, all those wanderers are blind and have no eyes. You alone among them have eyes.
54.wav|Then a certain devatā, in the far extreme of the night, her extreme radiance lighting up the entire Tapodā Hot Springs, went to Venerable Samiddhi.
55.wav|SUTTA NIPĀTA 5. : THE TO-THE-FAR-SHORE CHAPTER  (PĀRĀYANA VAGGA).
56.wav|'Udāyin, it's on seeing an elephant blessed with a large, massive body that that people say, 'A nāga! What a nāga!'
57.wav|'Which two dhammas? • 'Name & form. • 'Ignorance & craving for becoming. • 'Shame & compunction.
58.wav|Then Vepacitti the asura-king said to Sakka the deva-king: 'Let there be victory through what is well spoken.'
59.wav|Then Venerable Sāriputta, having gone for alms in Rājagaha, after his meal, on his way back from his almsround, went to Dhanañjānin the brahman.
60.wav|And at that time the lay follower Soṇa Koṭikaṇṇa was Venerable Mahā Kaccāna's supporter.
61.wav|the Blessed One was staying near Āḷavī by a cattle track in a siṁsapā forest where Hatthaka of Āḷavī, was out roaming & rambling for exercise,
62.wav|The devas & Tathāgatas see the fool who goes about off-pitch in the cosmos.
63.wav|TO SIRIVAḌḌHA. SIRIVAḌḌHA SUTTA  SAṀYUTTA NIKĀYA 47:29
64.wav|Visākhā, Migāra's mother, went to the Blessed One in the middle of the day and, on arrival, having bowed down to him, sat to one side.
65.wav|Master Caṅkī is handsome, inspiring to look at, endowed with the foremost beauty of complexion, with a Brahmā's complexion, a Brahmā's presence,
66.wav|THE LISTENER. SOTAR SUTTA  AṄGUTTARA NIKĀYA 5:140
67.wav|'Tonight, Vāsiṭṭhas, in the last watch of the night, the total unbinding of the Tathāgata will occur. Come out, Vāsiṭṭhas! Come out, Vāsiṭṭhas!
68.wav|Responding, 'As you say, sir,' to the brahman Lohicca, Rosika the barber went to the Blessed One and, on arrival, bowing down to him, stood to one side.
69.wav|He is wise, Venerable Citta Hatthisārīputta. He is capable of discussing higher Dhamma with the elder monks.
70.wav|'So you really know, Kondañña? So you really know?' And that is how Venerable Kondañña acquired the name Añña-Kondañña–Kondañña who knows.
71.wav|[The Buddha:] 'But what is his property, Ugga? What are his great treasures & great resources?'
73.wav|So Venerable Ānanda said to Subhadda the wanderer, 'Go ahead, friend Subhadda. The Blessed One gives you his leave.'
74.wav|Venerable Raṭṭhapāla's former wives said to him, 'What are they like, dear master-son: those nymphs for whose sake you lead the holy life?'
75.wav|Now on that occasion this evil viewpoint [diṭṭhigata] had arisen in the monk Ariṭṭha Formerly-of-the-Vulture-Killers:
76.wav|'Last night, monks, a certain devatā in the far extreme of the night, her extreme radiance lighting up the entirety of Jeta's Grove,
77.wav|I enter & remain in the second jhāna: rapture & pleasure born of concentration, unification of awareness free from directed thought & evaluation,
78.wav|Now, at that time this evil viewpoint [diṭṭhigata] had arisen to Venerable Yamaka:
79.wav|So Venerable Ānanda, taking Mahānāma the Sakyan by the arm, led him to one side and said to him,
80.wav|Now, Kassapa the Blessed One, worthy & rightly self-awakened, had a lay follower named Gavesin who didn't practice in full in terms of his virtue.
81.wav|On one occasion Venerable Ānanda was staying in Kosambī at Ghosita's monastery.
82.wav|When this was said, Timbarukkha the wanderer said to the Blessed One: 'Magnificent, Master Gotama! Magnificent!
83.wav|Whoever, though not an arahant, claims to be an arahant: He is the thief in this world with its Brahmās.
84.wav|'The words of Gotama the contemplative—so mighty, so powerful—were refuted by Prince Abhaya!'
85.wav|the brahman Udaya, having filled the Blessed One's bowl with rice, said to him, 'This pesky Gotama contemplative keeps coming again & again.'
86.wav|'Endowed with these six qualities, a monk is capable of attaining arahantship, the foremost state.'
87.wav|in the same way, Pahārāda, my disciples do not—even for the sake of their lives—overstep the training rules I have formulated for them.…
88.wav|'Pay attention, Aggivessana, and answer (only) after having paid attention!
89.wav|When this was said, Māgandiya the wanderer rubbed his own limbs with his hand. 'This is that freedom from disease, Master Gotama,' he said.
90.wav|I have heard that on one occasion the Blessed One was staying among the Sakyans at Kapilavatthu in the Banyan Park.
91.wav|'This is peace, this is exquisite—the pacification of all fabrications; the relinquishing of all acquisitions; the ending of craving; dispassion; cessation; unbinding.
92.wav|'Lord, that is not (to be answered) with a categorical answer.' 'In that case, Ānanda, give an analytical answer.'
93.wav|He doesn't, with his discernment, discern [the Dhamma's] higher meaning or goal.
94.wav|having adjusted his under robe and carrying his bowl and outer robe, went to the home of the householder, Nakula's father.
95.wav|Without approval or scorn, take careful note of his words and make them stand against the suttas and tally them against the Vinaya.
96.wav|Then in the early morning, Venerable Meghiya adjusted his under robe and–carrying his bowl & robes–went into Jantu Village for alms.
97.wav|on one occasion the Blessed One was staying at Āḷavī in the haunt of the Āḷavaka yakkha.
98.wav|Then Visākha the lay follower went to Dhammadinnā the nun and, on arrival, having bowed down to her, sat to one side.
99.wav|the householder Nakulapitar delighted in Venerable Sāriputta's words.
100.wav|THE PURIFICATION OF ALMSFOOD. PIṆḌAPĀTAPĀRISUDDHI SUTTA  MAJJHIMA NIKĀYA 151
101.wav|Then Bāhiya, deeply chastened by the devatā, left Suppāraka right then and, in the space of one night, went all the way to where the Blessed One was,
102.wav|this was said by the Blessed One in Māgaṇḍiya's Questions in the Aṭṭhaka Vagga:
103.wav|'Kevaṭṭa, I don't teach the monks in this way: 'Come, monks, display a miracle of psychic power to the lay people clad in white.'
104.wav|As they were sitting there, Venerable Nandaka said to them: 'This will be a question-response talk, sisters.'
105.wav|How immersed in ignorance is Baka Brahmā! — in that what is actually inconstant he calls 'constant.'
106.wav|'But, Anuruddhas, how do you remain heedful, ardent, & resolute?'
107.wav|Now at that time a clansman named Raṭṭhapāla, the son of the leading clan in that same Thullakoṭṭhita, was sitting in that assembly.
108.wav|I practiced in tune, attaining the foremost goal. The three knowledges are attained. The Buddha's bidding, done.
109.wav|So the wandering sectarians, addressing Venerable Anurādha as they would a newcomer or a fool, got up from their seats and left.
110.wav|'Suppavāsā the Koliyan-daughter, lord, shows reverence with her head to your feet.'
111.wav|'What do you think, Sīha? Whom would arahants, when visiting, first visit…?'
112.wav|'Lord, the monk named Sāḷha has died in Nādikā. What is his destination, what his future state?
113.wav|After reciting these verses while standing, Venerable Raṭṭhapāla went to King Koravya's Migācīra.
114.wav|When this was said, Venerable Moḷiya Phagguna said to the Blessed One, 'Lord, who feeds on the consciousness-nutriment?'
115.wav|DHAMMAPADA 1 : PAIRS. Phenomena are preceded by the heart, ruled by the heart, made of the heart.
116.wav|Thus at the Pāvāla shrine—mindful & alert—the Blessed One relinquished the fabrications of life.
117.wav|Venerable Sāriputta saw Venerable Rāhula sitting at the foot of a tree, his legs folded crosswise, his body held erect,
118.wav|Venerable Cūḷa Panthaka was sitting not far from the Blessed One, his legs crossed, his body held erect, with mindfulness established to the fore.
119.wav|Then Jambukhādaka the wanderer went to Venerable Sāriputta and, on arrival, exchanged courteous greetings with him.
120.wav|in the same way, clear are Master Gotama's faculties, pure his complexion, & bright!
121.wav|Then Keṇiya the coiled-hair ascetic, understanding the Blessed One's acquiescence, got up from his seat and returned to his own ashram.
122.wav|By means of this factor I emulate the arahants, and my uposatha will be observed.
123.wav|'Then, Dīghāvu, established in these four factors of stream-entry, you should develop these six qualities siding with clear knowing:
124.wav|'It's time, venerable sirs. The meal is ready at Lady Nandamātar's home.'
125.wav|'Thus kamma is the field, consciousness the seed, and craving the moisture.
126.wav|Then Pañcakaṅga went to Uggāhamāna and, on arrival, greeted him courteously.
127.wav|Bound to Māra's yoke, from the yoke they find no rest.
128.wav|There he stayed near Opāsāda in the deva forest, the sāla forest to the north of the village.
129.wav|Then Venerable Mahaka willed a psychic feat such that a cool wind blew, a thundering cloud developed, and the rain fell in scattered drops.
130.wav|'And how, Māluṅkyaputta, do you remember the five lower fetters as taught by me?'
131.wav|'For a monk whose mind is thus rightly released, Vappa, six continual dwellings have been attained.
132.wav|'Which five has he abandoned? He has abandoned sensual desire… ill will… sloth & drowsiness… restlessness & anxiety… uncertainty.
133.wav|'Drunk with the intoxication of youth, an uninstructed, run-of-the-mill person engages in bodily misconduct, verbal misconduct, & mental misconduct.
134.wav|He who, in this Dhamma & Vinaya, remains heedful, leaving the wandering-on through birth, will make an end of stress.
135.wav|(a) 'One percipient of form internally sees forms externally as limited, beautiful & ugly.
136.wav|He dwells restrained in accordance with the Pāṭimokkha, consummate in his behavior & sphere of activity.
137.wav|'This has been said by Pañcālacaṇḍa the deva's son:
138.wav|Then King Yama says, 'My good man, didn't you see among human beings a tender baby boy lying prone in its own urine & excrement?'
139.wav|I go to the Buddha for refuge, to the Dhamma, & to the Saṅgha of monks.
140.wav|'The asuras take great joy in the great ocean, lord.'
141.wav|'What do you think, Upāḷi? Isn't this dwelling more excellent than the earlier dwellings, and more refined?'
142.wav|Vaḍḍha: With what a vast goad my mother poked me— because of her sympathy— verses connected to the ultimate goal.
143.wav|'May I have nothing to do with honor, Nāgita, and honor nothing to do with me.
144.wav|simultaneously with the total unbinding, Sahampati Brahmā uttered this verse:
145.wav|The devatās, friends, are complaining.
146.wav|Now on that occasion Sela the brahman was staying at Āpaṇa.
147.wav|And at that time the lay follower Soṇa Koṭikaṇṇa
148.wav|Bāvarī was exultant. His grief subsided, and he gained abundant rapture.
149.wav|What do you think, Susima?
150.wav|Then Nakula's mother [Nakulamatar] said to him: 'Don't be worried as you die, householder. Death is painful for one who is worried.
151.wav|'This is stress' … 'This is the origination of stress' … 'This is the cessation of stress' … 'This is the path of practice leading to the cessation of stress':
152.wav|the four types (of noble disciples) when taken as pairs, the eight when taken as individual types—they are the Saṅgha of the Blessed One's disciples:
153.wav|But there comes a time when his mind grows steady inwardly, settles down, grows unified & concentrated.
154.wav|Thoughts of sensuality, thoughts of ill will, thoughts of harmfulness; perceptions of sensuality, perceptions of ill will, perceptions of harmfulness.
155.wav|a disciple of the noble ones discerns feeling in this way, the cause by which feeling comes into play in this way, the diversity in feeling in this way,
156.wav|Friends, passion carries little blame and is slow to fade. Aversion carries great blame and is quick to fade. Delusion carries great blame and is slow to fade.
157.wav|'All phenomena have contact as their origination.
158.wav|From craving as a requisite condition comes clinging or sustenance.
159.wav|There is the case where a monk keeps his persistence aroused for abandoning unskillful mental qualities and taking on skillful mental qualities.
160.wav|'There are these five strings of sensuality: forms cognizable via the eye—agreeable, pleasing, charming, endearing, enticing, linked to sensual desire;
161.wav|[Similarly with the dimension of the infinitude of consciousness and the dimension of nothingness.]
162.wav|Well-Gone, an expert with regard to the cosmos, unexcelled trainer of people fit to be tamed, teacher of devas & human beings, awakened, blessed.
163.wav|'Brahman, there are those who, subject to death, are afraid & in terror of death.
164.wav|He is freed from birth, aging, & death; from sorrows, lamentations, pains, distresses, & despairs.
165.wav|But anyone who rouses his unbelieving mother & father, settles & establishes them in conviction;
166.wav|Thus was it said. And in reference to what was it said?
167.wav|Such is the origination of this entire mass of suffering & stress.
168.wav|the monk enters & remains in the fourth jhāna: purity of equanimity & mindfulness, neither pleasure nor pain.
169.wav|'Whatever pleasure & joy arises dependent on feeling: That is the allure of feeling.…
170.wav|The fact that feeling is inconstant, stressful, subject to change: This is the drawback of feelings.
171.wav|any restraint of body, speech, & intellect practiced here will be one's shelter, cave, island, & refuge after death in the world beyond.'
172.wav|Five faculties: the faculty of conviction, the faculty of persistence, the faculty of mindfulness, the faculty of concentration, the faculty of discernment.
173.wav|The voice of another and appropriate attention. These are the two conditions for the arising of right view.'
174.wav|Whatever teachings are admirable in the beginning, admirable in the middle, admirable in the end,
175.wav|Disenchanted, he becomes dispassionate. Through dispassion, he is released.
176.wav|• 'Five lower fetters: self-identification views, uncertainty, grasping at habits & practices, sensual desire, ill will.
177.wav|—depending on time & occasion—can be experienced by a householder partaking of sensuality.
178.wav|shaves off his hair & beard, puts on the ochre robes, and goes forth from the household life into homelessness.
179.wav|'Monks, the eye is inconstant, changeable, alterable. The ear… The nose… The tongue… The body… The mind is inconstant, changeable, alterable.
180.wav|ill-spoken, unwelcome words & bodily feelings that, when they arise, are painful, racking, sharp, piercing, disagreeable, displeasing, & menacing to life.
181.wav|'He hears—by means of the divine ear-element, purified & surpassing the human—both kinds of sounds: divine & human, whether near or far.
182.wav|Reach consummation through heedfulness.' That was the Tathāgata's last statement.
183.wav|Then some of the Licchavis said, 'Who is Gotama the contemplative that he will refute the statement of Saccaka the Nigaṇṭha-son?
184.wav|THE SHORTER DISCOURSE TO SACCAKA. CŪḶA SACCAKA SUTTA  MAJJHIMA NIKĀYA 35
185.wav|Nothing can be done to the Vajjians by King Ajātasattu Vedehiputta, the king of Magadha, through force of arms—except by befriending them and sowing dissension (among them).
186.wav|[Similarly with Makkhali Gosāla, Ajita Kesakambalin, Pakudha Kaccāyana, Sañjaya Velaṭṭhaputta, & Nigaṇṭha Nāṭaputta.]
187.wav|TO VACCHAGOTTA ON FIRE. AGGI-VACCHAGOTTA SUTTA  MAJJHIMA NIKĀYA 72
188.wav|I have heard that on one occasion the Blessed One was staying at Rājagaha, in Jīvaka Komārabhacca's mango grove, with a large Saṅgha of monks—1,250 monks in all.
189.wav|Some of the Licchavis said, 'Who is Saccaka the Nigaṇṭha-son that he will refute the statement of Gotama the contemplative?
190.wav|Venerable Puṇṇa Mantāṇiputta heard, 'The Blessed One has arrived at Sāvatthī and is staying near Sāvatthī in Jeta's Grove, Anāthapiṇḍika's monastery.'
191.wav|On one occasion Venerable Mahā Cunda was staying among the Cetis in Sañjāti.
192.wav|On one occasion Venerable Mahā Cunda was staying among the Cetis at Sahajāti.
193.wav|FROM IGNORANCE AS A REQUISITE CONDITION. AVIJJĀPACCAYA SUTTA  SAṀYUTTA NIKĀYA 12:35
194.wav|Then, early in the morning, Venerable Bhūmija—having adjusted his lower robe and taking his bowl & outer robe—went to Prince Jayasena's residence.
195.wav|I have heard that on one occasion the Blessed One, on a wandering tour among the Kosalans with a large Saṅgha of monks, arrived at a Kosalan brahman village named Icchānaṅgala.
196.wav|ONE'S OWN MIND. SACITTA SUTTA  AṄGUTTARA NIKĀYA 10:51
197.wav|When the night had passed, the senior monks adjusted their lower robes in the early morning and, taking their bowls & outer robes, went to Citta's residence.
198.wav|Then, as the night was ending, the brahman Lohicca had choice staple & non-staple foods prepared in his own home and then said to Rosika the barber, 'Come, dear Rosika.
199.wav|'[4] He attains—whenever he wants, without strain, without difficulty—the four jhānas that are heightened mental states, pleasant abidings in the here & now.
200.wav|'[4] He can attain at will, without trouble or difficulty, the four jhānas—heightened mental states providing a pleasant abiding in the here & now.
201.wav|Then the Blessed One went to the brahman Lohicca's home.
202.wav|So the brahman householders of Icchānaṅgala, when the night was gone, taking many staple & non-staple foods, went to the gate house of the Icchānaṅgala forest grove.
203.wav|A third time the Blessed One addressed Venerable Sāriputta, 'Sāriputta, it is said in Ajita's Question in the Way to the Further Shore:
204.wav|I have heard that on one occasion the Blessed One was staying near Rājagaha, in Jīvaka Komārabhacca's mango grove.
205.wav|THE SHORTER DISCOURSE ON TAKING ON PRACTICES. CŪḶA DHAMMASAMĀDĀNA SUTTA  MAJJHIMA NIKĀYA 45
206.wav|The Vacchagotta the wanderer, getting up from his seat, went to Venerable Mahā Moggallāna and, on arrival, exchanged courteous greetings with him.
207.wav|Then Saccaka, a Nigaṇṭha [Jain], while walking and wandering around to exercise his legs, went to the Gabled Hall in the Great Forest.
208.wav|SISTER SĪSUPACĀLĀ. SĪSUPACĀLĀ SUTTA  SAṀYUTTA NIKĀYA 5:8
209.wav|When this uposatha of the Jains is undertaken, it is not of great fruit or great benefit, not of great glory or great radiance.
210.wav|Then, early in the morning, Sīsupacālā the nun adjusted her robes and, taking her bowl & outer robe, went into Sāvatthī for alms.
211.wav|Master Gotama, Ajātasattu Vedehiputta, the king of Magadha, wants to attack the Vajjians.
212.wav|Then Māra the Evil One—sad & dejected at realizing, 'Sīsupacālā the nun knows me'—vanished right there.
213.wav|Then the brahman Jaṭā ['Tangle'] Bhāradvāja went to the Blessed One and, on arrival, exchanged courteous greetings with him.
214.wav|WITH CAṄKĪ. CAṄKĪ SUTTA  MAJJHIMA NIKĀYA 95
215.wav|On hearing the voice of the spirit Dīgha Parajana, the earth devas took up the cry:
216.wav|Then the novice Aciravata, not long after Prince Jayasena's departure, went to the Blessed One.
217.wav|Then the spirit Dīgha Parajana went to the Blessed One and, on arrival, having bowed down to him, stood to one side.
218.wav|Then, after the night had passed, the Licchavis offered to Saccaka the Nigaṇṭha-son a food offering of approximately five hundred oblation-dishes.
219.wav|Prince Jayasena went to Venerable Bhūmija and, on arrival, exchanged courteous greetings with him.
220.wav|Campā, Rājagaha, Sāvatthī, Sāketa, Kosambī, Bārāṇasī.
221.wav|So Saccaka the Nigaṇṭha-son, surrounded by five hundred Licchavis, went to the Gabled Hall in the Great Forest.
222.wav|So Saccaka the Nigaṇṭha-son went to those Licchavis and, on arrival, said to them, 'Come out, good Licchavis!
223.wav|Then Saccaka the Nigaṇṭha-son, sensing the Blessed One's acquiescence, addressed the Licchavis, 'Listen, Master Licchavis.
224.wav|Then Saccaka the Nigaṇṭha-son together with a large group of Licchavis plunged into the Great Forest and went to the Blessed One.
225.wav|Then Mahāpajāpati Gotamī, having had her hair cut off, having donned ochre robes, set out for Vesālī together with a large number of Sakyan women.
226.wav|Meanwhile, a certain Ājīvakan ascetic, carrying a coral-tree flower from Kusinārā, was traveling on the highway to Pāvā.
227.wav|Gratified, the spirit Dīgha Parajana delighted in the Blessed One's words.
228.wav|As he was sitting there he said, 'Venerable sir, Mahāpajāpati Gotamī has accepted the eight rules of respect, never to transgress them as long as she lives.'
229.wav|Then a certain householder, a disciple of the Fatalists [Ājīvakas], went to him and, on arrival, having bowed down to him, sat to one side.
230.wav|Responding, 'As you say, sire,' the man went to Sañjaya the brahman of the Ākāsa clan and on arrival said to him, 'King Pasenadi Kosala summons you.'
231.wav|ABOUT VAJJIYA. VAJJIYA SUTTA  AṄGUTTARA NIKĀYA 10:94
232.wav|Then the monks, delighting in & approving of Venerable Mahā Kaccāna's words, got up from their seats and went to the Blessed One.
233.wav|NEAR CĀTUMĀ. CĀTUMA SUTTA  MAJJHIMA NIKĀYA 67
234.wav|Then the monks, delighting in & approving of Venerable Mahā Kaccāna's words, rose from their seats and went to the Blessed One.
235.wav|When they were unable to convince the monks led by Assaji & Punabbasu, those monks went to the Blessed One [and told him what had happened].
236.wav|MAHĀ KACCĀNA & THE AUSPICIOUS DAY. MAHĀKACCĀNA BHADDEKARATTA SUTTA  MAJJHIMA NIKĀYA 133
237.wav|When this was said, the monks led by Assaji & Punabbasu said to those monks, 'Friends, we eat in the evening, in the morning, & in the wrong-time during the day.
238.wav|Vajjiya Māhita the householder, perceiving that the wanderers were silent, abashed…at a loss for words, got up & went to the Blessed One.
239.wav|On arrival, the Blessed One said to Venerable Cundaka, 'Cundaka, please arrange my outer robe folded in four.
240.wav|Responding, 'As you say, lord,' to the Blessed One, Venerable Cundaka arranged the outer robe folded in four.
241.wav|With regard to that, what does Master Bhūmija's teacher say, what is his view, what does he declare?'
242.wav|As he was sitting there, he told the Blessed One the entire extent of Venerable Udāyin's conversation with Pañcakaṅga the carpenter.
243.wav|Then the Blessed One, early in the morning, adjusted his lower robe and—taking his bowl & outer robe—went together with the Saṅgha of monks to Cunda's home.
244.wav|When this was said, Pañcakaṅga the carpenter said to Venerable Udāyin, 'No, Venerable Udāyin, the Blessed One hasn't described three feelings, he's described two feelings:
245.wav|So, setting his lodgings in order and taking his robes & bowl, Venerable Channa went to Kosambī to where Venerable Ānanda was staying at Ghosita's monastery.
246.wav|Then in the Blessed One, after he had eaten Cunda's meal, there arose a severe disease accompanied with (the passing of) blood, with intense pains & deadly.
247.wav|Here comes Vajjiya Māhita the householder, a disciple of the contemplative Gotama.
248.wav|THE LONGER DISCOURSE TO SACCAKA. MAHĀ SACCAKA SUTTA  MAJJHIMA NIKĀYA 36
249.wav|TO DHANAÑJĀNIN. DHANAÑJĀNIN SUTTA  MAJJHIMA NIKĀYA 97
250.wav|Responding, 'As you say, lord,' to the Blessed One, the monk went to Venerable Pilindavaccha and on arrival said to him, 'The Teacher calls you, friend Vaccha.'
251.wav|I have heard that on one occasion the Blessed One was staying near Rājagaha in Jīvaka's Mango Grove.
252.wav|So the Devas of the Thirty-three bound Vepacitti, the lord of the asuras, neck, hand, & foot and brought him before Sakka in the righteous assembly of the devas.
253.wav|Yet I neither delighted in Pakudha Kaccāyana's words nor did I protest against them.
254.wav|Then the Blessed One told a certain monk, 'Come, monk. In my name, call Pilindavaccha, saying, 'The Teacher calls you, friend Vaccha.'
255.wav|When this was said, Saccaka the Nigaṇṭha-son said to Dummukha the Licchavi-son, 'Just you wait, Dummukha.
256.wav|IGNORANCE. AVIJJĀ SUTTA  AṄGUTTARA NIKĀYA 10:61
257.wav|Cundaka quickly set it out, folded in four.
258.wav|Then the thought occurred to Venerable Channa, 'This Venerable Ānanda is staying near Kosambī at Ghosita's monastery.
259.wav|Now on that occasion, Sunidha & Vassakāra, the chief ministers of Magadha, were building a city at Pāṭali Village to preempt the Vajjians.
260.wav|THERAGĀTHĀ 1:14. VANAVACCHA'S PUPIL
