0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
14.wav| upəkə ðˈə ɑːd̪ʒiːʋəkə sˈɔː mˈiː ˈɒn ðˈə ɹˈəʊd bɪtwˈiːn əjɑː ˈand ðˈə (plˈeɪs ˈɒv) ɐwˈeɪkənɪŋ, ˈand ˈɒn sˈiːɪŋ mˈiː sˈɛd tˈuː mˈiː, 'klˈiə, mˈaɪ fɹˈɛnd, ˈɑː jˈɔː fˈakəltiz.
15.wav| vˈɛnəɹəbəl ən̪uɾud̪d̪ʰə, vˈɛnəɹəbəl n̪ən̪d̪ɪjə, ˈand vˈɛnəɹəbəl kɪmbɪlə wˈɜː stˈeɪɪŋ ˈɪn ðˈə oːs̪ɪŋə [kˈatəl-hˈɔːn] s̪ɑːlə-tɹˈiː fˈɒɹɪst pˈɑːk.
16.wav| wˈeə ˈɪz məɦɑː moːəllɑːn̪ə? wˈeə ˈɪz məɦɑː kəs̪s̪əpə? wˈeə ˈɪz məɦɑː kət̪ʃt̪ʃɑːn̪ə? wˈeə ˈɪz məɦɑː koːʈʈʰɪt̪ə? wˈeə ˈɪz məɦɑː t̪ʃun̪d̪ə? wˈeə ˈɪz məɦɑː kəppɪn̪ə?
17.wav| ʋeːɭukəɳʈəkɪn̪ n̪ən̪d̪əmɑːt̪ɑː, hˈaz ɪstˈablɪʃt ˈeɪ dəʊnˈeɪʃən ɛndˈaʊd wˈɪð sˈɪks fˈaktəz fˈɔː ðˈə s̪əŋʰə ˈɒv mˈʌŋks hˈɛdɪd bˈaɪ s̪ɑːɾɪput̪t̪ə ˈand moːəllɑːn̪ə.
18.wav| ˈand wˈɒt ˈɪz ðˈə upoːs̪ət̪ʰə ˈɒv ðˈə dʒˈeɪnz? ðˈeə ˈɑː ðˈə kəntˈəmplətˌɪvz kˈɔːld ðˈə n̪ɪəɳʈʰəs̪ [dʒˈeɪnz].
19.wav| ˈiːvən ˈaɪ maɪsˈɛlf, bɪfˈɔː mˈaɪ sˈɛlf-ɐwˈeɪkənɪŋ, wˈɛn ˈaɪ wˈɒz stˈɪl ˈan ʌnɐwˈeɪkənd boːd̪ʰɪs̪ət̪t̪ə, θˈɔːt: 'ɹɪnˌʌnsɪˈeɪʃən ˈɪz ɡˈʊd. sɪklˈuːʒən ˈɪz ɡˈʊd.'
20.wav| ðˈɪs ud̪d̪əkə ɾɑːməput̪t̪ə ˈɪz wˈaɪz, kˈɒmpɪtənt, ɪntˈɛlɪdʒənt. hˈiː hˈaz lˈɒŋ hˈad lˈɪtəl dˈʌst ˈɪn hˈɪz ˈaɪz. wˈɒt ˈɪf ˈaɪ wˈɜː tˈuː tˈiːtʃ hˈɪm ðˈə d̪ʰəmmə fˈɜːst?
21.wav| nˈaʊ, ˈɒn ðˈat əkˈeɪʒən, s̪un̪iːd̪ʰə ˈand ʋəs̪s̪əkɑːɾə, ðˈə tʃˈiːf mˈɪnɪstəz ˈɒv məəd̪ʰə, wˈɜː bˈɪldɪŋ ˈeɪ sˈɪti ˈat pɑːʈəlɪ vˈɪlɪdʒ tˈuː pɹiːˈɛmpt ðˈə ʋəd̪ʒd̪ʒɪən̪s̪.
22.wav| nˈaʊ, ˈɒn ðˈat əkˈeɪʒən ðˈə n̪ɪəɳʈʰə n̪ɑːʈəput̪t̪ə wˈɒz sˈɪtɪŋ wˈɪð ˈeɪ lˈɑːdʒ lˈeɪ fˈɒləʊɪŋ fɹˈɒm bɑːləkə hˈɛdɪd bˈaɪ upɑːlɪ.
23.wav| ðˈɛn vˈɛnəɹəbəl d̪ɑːs̪əkə wˈɛnt tˈuː ðˈə ˈɛldə mˈʌŋks ˈand, ˈɒn ɐɹˈaɪvəl, sˈɛd tˈuː ðˈɛm, 'ðˈə mˈʌŋk kʰeːməkə hˈaz sˈɛd tˈuː mˈiː, 'ˈaɪ ˈam nˈɒt ɡˈɛtɪŋ bˈɛtə, mˈaɪ fɹˈɛnd.
24.wav| ðˈeə ˈɑː, fˈɔː ɛɡzˈampəl, n̪ən̪d̪ə ʋət̪ʃt̪ʃʰə, kɪs̪ə s̪əŋkɪt̪ʃt̪ʃə, ˈand məkkʰəlɪ oːs̪ɑːlə. ðˈeɪ ˈɑː klˈɒθ-lˈɛs ɐsˈɛtɪks, ɹɪdʒˈɛktɪŋ kənvˈɛnʃənz, lˈɪkɪŋ ðˈeə hˈandz,
25.wav| 'sˈəʊ kɑːliː ðˈə slˈeɪv ɡˈɒt ˈʌp ˈaftə dˈeɪbɹeɪk. ðˈɛn lˈeɪdi ʋeːd̪eːɦɪkɑː sˈɛd tˈuː hˈɜː: 'hˈeɪ, kɑːliː!' 'wˈɒt, mˈadəm?' 'wˈaɪ dˈɪd jˈuː ɡˈɛt ˈʌp ˈaftə dˈeɪbɹeɪk?'
26.wav| s̪ubɾəɦmɑː ˈand pəɾəmət̪t̪ə bɾəɦmɑː, təɡˈɛðə wˈɪð sˈʌnz ˈɒv ðˈə pˈaʊəfəl wˈɒn, s̪ən̪əŋkumɑːɾə ˈand t̪ɪs̪s̪ə: ðˈeɪ tˈuː hˈav kˈʌm tˈuː ðˈə fˈɒɹɪst mˈiːtɪŋ.
27.wav| bɾəɦmɑː, jˈuː dˈəʊnt nˈəʊ ðˈə bˈɒdi nˈeɪmd s̪ubʰəkɪɳɦɑː [bjˈuːtifəl blˈak]… ðˈə bˈɒdi nˈeɪmd ʋeːɦəppʰəlɑː [skˈaɪ-fɹˈuːt], {ðˈə bˈɒdi nˈeɪmd əbʰɪbʰuː [kˈɒŋkəɹə]},
28.wav| 'jˈɔː mˈadʒɪsti, kwˈiːn məllɪkɑː hˈaz dˈaɪd.' wˈɛn ðˈɪs wˈɒz sˈɛd, kˈɪŋ pəs̪eːn̪əd̪ɪ koːs̪ələ sˈat ðˈeə mˈɪzɹəbəl, sˈɪk ˈat hˈɑːt, hˈɪz ʃˈəʊldəz dɹˈuːpɪŋ,
29.wav| hˈiː ɐtˈeɪnz—wɛnˈɛvə hˈiː wˈɒnts, wɪðˈaʊt stɹˈeɪn, wɪðˈaʊt dˈɪfɪkˌʌlti—ðˈə fˈɔː d̪ʒʰɑːn̪əs̪ ðˈat ˈɑː hˈaɪtənd mˈɛntəl stˈeɪts, plˈɛzənt ɐbˈaɪdɪŋz ˈɪn ðˈə hˈiə ˈand nˈaʊ.
30.wav| ɑːn̪ən̪d̪ə, ðˈɪs ˈɪz ðˈə t̪ət̪ʰɑːət̪ə's̪ lˈast lˈʊk ˈat ʋeːs̪ɑːliː. kˈʌm, ɑːn̪ən̪d̪ə, wˈiː wˈɪl hˈɛd fˈɔː bʰəɳɖə vˈɪlɪdʒ.
31.wav| ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ˈat ɾɑːd̪ʒəəɦə, ˈɪn d̪ʒiːʋəkə koːmɑːɾəbʰət̪ʃt̪ʃə's̪ mˈaŋɡəʊ ɡɹˈəʊv, wˈɪð ˈeɪ lˈɑːdʒ s̪əŋʰə ˈɒv mˈʌŋks.
32.wav| ðˈə bɹˈɑːmən s̪un̪d̪əɾɪkə bʰɑːɾəd̪ʋɑːd̪ʒə (θˈɪŋkɪŋ,) 'ðˈɪs vˈɛnəɹəbəl wˈɒn ˈɪz ʃˈeɪvən. ðˈɪs vˈɛnəɹəbəl wˈɒn ˈɪz ˈeɪ ʃˈeɪvəlɪŋ,
33.wav| vˈɛnəɹəbəl s̪əbʰɪjə kət̪ʃt̪ʃɑːn̪ə wˈɒz stˈeɪɪŋ ˈat ɲɑːt̪ɪkə. ðˈɛn ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə wˈɛnt tˈuː hˈɪm ˈand, ˈɒn ɐɹˈaɪvəl, ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
34.wav| ɛksplɐnˈeɪʃənz, vˈɜːsɪz, spɒntˈeɪniəs ɛksklɐmˈeɪʃənz [ud̪ɑːn̪ə], kwəʊtˈeɪʃənz [ɪt̪ɪʋut̪t̪əkə], bˈɜːθ stˈɔːɹiz [d̪ʒɑːt̪əkə],
35.wav| t̪ʰeːɾəɑːt̪ʰɑː. sˈɪkstiːn: ˈeɪt. əŋulɪmɑːlə. əŋulɪmɑːlə: 'wˈaɪl wˈɔːkɪŋ, kəntˈəmplətˌɪv, jˈuː sˈeɪ, 'ˈaɪ hˈav stˈɒpt.' bˈʌt wˈɛn ˈaɪ hˈav stˈɒpt jˈuː sˈeɪ ðˈat ˈaɪ hˈavənt.
36.wav| t̪ʰeːɾiːɑːt̪ʰɑː. θˈɜːtiːn: wˈɒn. əmbəpɑːliː. blˈak wˈɒz mˈaɪ hˈeə —ðˈə kˈʌlə ˈɒv bˈiːz— ˈand kˈɜːld ˈat ðˈə tˈɪps; wˈɪð ˈeɪdʒ, ˈɪt lˈʊkt lˈaɪk kˈɔːs hˈɛmp.
37.wav| fˈɔː ɪnstˈɛd, ˈaɪ ʃˈʊd bˈiː ˈaskt, 'hˈuː lˈaɪvz ˈɪn ɡɹˈeɪtə plˈɛʒə: kˈɪŋ s̪eːn̪ɪjə bɪmbɪs̪ɑːɾə ˈɒv məəd̪ʰə ˈɔː mˈastə oːt̪əmə?'
38.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə hˈiː sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'lˈɔːd, s̪un̪əkkʰət̪t̪ə ðˈə lɪt̪ʃt̪ʃʰəʋɪ hˈaz ɹˈiːsəntli lˈɛft ðˈɪs d̪ʰəmmə ˈand ʋɪn̪əjə.
39.wav| 'mˈʌŋks, kˈɒŋkəd bˈaɪ θɹˈiː fˈɔːmz ˈɒv fˈɒls d̪ʰəmmə–hˈɪz mˈaɪnd ˌəʊvəwˈɛlmd–d̪eːʋəd̪ət̪t̪ə ˈɪz ɪŋkjˈʊəɹəbli dˈuːmd tˈuː dˌɛpɹɪvˈeɪʃən, tˈuː hˈɛl, fˈɔː ˈan ˈiːɒn.
40.wav| ðˈiːz tˈɛn d̪ʰəmməs̪—tɹˈuː, dʒˈɛnjuːɪn, ɹˈiəl, nˈɒt ʌnɹˈiəl, nˈɒt ˈʌðəwˌaɪz—hˈav bˈiːn ɹˈaɪtli ɐwˈeɪkənd tˈuː bˈaɪ ðˈə t̪ət̪ʰɑːət̪ə.
41.wav| 'pˈast bud̪d̪ʰəs̪, fjˈuːtʃə bud̪d̪ʰəs̪, ˈand hˈiː hˈuː ˈɪz ðˈə bud̪d̪ʰə nˈaʊ, ɹɪmˈuːvɪŋ ðˈə sˈɒɹəʊ ˈɒv mˈɛni— ˈɔːl hˈav dwˈɛlt, wˈɪl dwˈɛl, hˈiː dwˈɛlz, ɹɪvˈiəɹɪŋ ðˈə tɹˈuː d̪ʰəmmə.
42.wav| vˈɛnəɹəbəl bʰəd̪d̪ɪjə, kɑːɭɪoːd̪ʰɑː's̪ sˈʌn, ˈɒn ɡˈəʊɪŋ tˈuː ðˈə wˈɪldənəs, tˈuː ðˈə ɹˈuːt ˈɒv ˈeɪ tɹˈiː, wˈʊd ɹɪpˈiːtɪdli ɛksklˈeɪm, 'wˈɒt blˈɪs! wˈɒt blˈɪs!'
43.wav| ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ ˈɒv ʋeːs̪ɑːliː hˈɜːd, 'ðˈə blˈɛsɛd wˈɒn, ðˈeɪ sˈeɪ, hˈaz tˈəʊtəli ʌnbˈaʊnd ˈɪn kus̪ɪn̪ɑːɾɑː.
44.wav| 'wˈɒn tˈaɪm, ɑːn̪ən̪d̪ə, ˈaɪ wˈɒz stˈeɪɪŋ ˈɪn uɾuʋeːlɑː ˈɒn ðˈə bˈaŋk ˈɒv ðˈə n̪eːɾəɲd̪ʒəɾɑː ɹˈɪvə ˈat ðˈə ɡˈəʊt-hˈɜːd bˈanjən, njˈuːli ɐwˈeɪkənd.
45.wav| 'fɹˈɛnd ud̪d̪əkə, ˈɪz ðˈɪs ðˈə ɛkstˈɛnt tˈuː wˈɪtʃ ɾɑːmə ˈɛntəd ˈand dwˈɛld ˈɪn ðˈɪs d̪ʰəmmə, hˈavɪŋ ɹˈiəlaɪzd ˈɪt fˈɔː hɪmsˈɛlf θɹˈuː daɪɹˈɛkt nˈɒlɪdʒ?'
46.wav| ɐmˈeɪzɪŋ ˈand ɐstˈaʊndɪŋ kwˈɒlɪtiz. ət̪ʃt̪ʃʰəɾɪj'əbbʰuːt̪əd̪ʰəmmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd twˈɛnti θɹˈiː
47.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə ˈand vˈɛnəɹəbəl məɦɑː koːʈʈʰɪt̪ə wˈɜː stˈeɪɪŋ nˈiə ʋɑːɾɑːɳəs̪iː ˈɪn ðˈə dˈiə pˈɑːk ˈat ɪs̪ɪpət̪ən̪ə.
48.wav| ðˈə ˈɛfluːənts bˈaɪ wˈɪtʃ—ˈɪf ðˈeɪ wˈɜː nˈɒt ɐbˈandənd—ˈaɪ wˈʊd bˈiː ˈeɪ ən̪d̪ʰəbbə… ˈeɪ jəkkʰə… ˈeɪ hjˈuːmən bˈiːɪŋ: ðˈəʊz ˈɑː ɐbˈandənd bˈaɪ mˈiː,
49.wav| 'wˈɒt dˈuː jˈuː θˈɪŋk, əs̪s̪əlɑːjən̪ə? hˈav jˈuː hˈɜːd ðˈat ˈɪn joːn̪ə ˈand kəmboːd̪ʒə ˈand ˈʌðə aʊtlˈaɪɪŋ kˈʌntɹiz ðˈeə ˈɑː ˈəʊnli tˈuː kˈasts—mˈastəz ˈand slˈeɪvz—
50.wav| lˈɔːd, ðˈə mˈʌŋk nˈeɪmd puɳɳə mən̪t̪ɑːɳɪput̪t̪ə [mən̪t̪ɑːɳɪ's̪ sˈʌn] ˈɪz ɛstˈiːmd bˈaɪ ðˈə nˈeɪtɪv-lˈand mˈʌŋks
51.wav| s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn, wˈɔːkɪŋ ˈand wˈɒndəɹɪŋ ɐɹˈaʊnd ʋeːs̪ɑːliː tˈuː ˈɛksəsˌaɪz hˈɪz lˈɛɡz, sˈɔː vˈɛnəɹəbəl əs̪s̪əd̪ʒɪ kˈʌmɪŋ fɹˈɒm ɐfˈɑː.
52.wav| 'ut̪t̪ɪjə, ˈaɪ hˈavənt dɪklˈeəd ðˈat 'ˈaftə dˈɛθ ˈeɪ t̪ət̪ʰɑːət̪ə nˈaɪðə dˈʌz nˈɔː dˈʌz nˈɒt ɛɡzˈɪst: ˈəʊnli ðˈɪs ˈɪz tɹˈuː; ˈɛnɪθˌɪŋ ˈʌðəwˌaɪz ˈɪz wˈɜːθləs.'
53.wav| [ðˈə bud̪d̪ʰə:] 'poːʈʈʰəpɑːd̪ə, ˈɔːl ðˈəʊz wˈɒndəɹəz ˈɑː blˈaɪnd ˈand hˈav nˈəʊ ˈaɪz. jˈuː ɐlˈəʊn ɐmˈʌŋ ðˈɛm hˈav ˈaɪz.
54.wav| ðˈɛn ˈeɪ sˈɜːtən d̪eːʋət̪ɑː, ˈɪn ðˈə fˈɑː ɛkstɹˈiːm ˈɒv ðˈə nˈaɪt, hˈɜː ɛkstɹˈiːm ɹˈeɪdiəns lˈaɪtɪŋ ˈʌp ðˈə ɛntˈaɪə t̪əpoːd̪ɑː hˈɒt spɹˈɪŋz, wˈɛnt tˈuː vˈɛnəɹəbəl s̪əmɪd̪d̪ʰɪ.
55.wav| s̪ut̪t̪ə n̪ɪpɑːt̪ə. fˈaɪv. ðˈə tˈuː-ðˈə-fˈɑː-ʃˈɔː tʃˈaptə (pɑːɾɑːjən̪ə ʋəə).
56.wav| 'ud̪ɑːjɪn̪, ˈɪts ˈɒn sˈiːɪŋ ˈan ˈɛlɪfənt blˈɛst wˈɪð ˈeɪ lˈɑːdʒ, mˈasɪv bˈɒdi ðˈat ðˈat pˈiːpəl sˈeɪ, 'ˈeɪ n̪ɑːə! wˈɒt ˈeɪ n̪ɑːə!'
57.wav| 'wˈɪtʃ tˈuː d̪ʰəmməs̪? • 'nˈeɪm ˈand fˈɔːm. • 'ˈɪɡnəɹəns ˈand kɹˈeɪvɪŋ fˈɔː bɪkˈʌmɪŋ. • 'ʃˈeɪm ˈand kəmpˈʌŋkʃən.
58.wav| ðˈɛn ʋeːpət̪ʃɪt̪t̪ɪ ðˈə əs̪uɾə-kˈɪŋ sˈɛd tˈuː s̪əkkə ðˈə d̪eːʋə-kˈɪŋ: 'lˈɛt ðˈeə bˈiː vˈɪktəɹi θɹˈuː wˈɒt ˈɪz wˈɛl spˈəʊkən.'
59.wav| ðˈɛn vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə, hˈavɪŋ ɡˈɒn fˈɔː ˈɑːmz ˈɪn ɾɑːd̪ʒəəɦə, ˈaftə hˈɪz mˈiːl, ˈɒn hˈɪz wˈeɪ bˈak fɹˈɒm hˈɪz ˈɑːmsɹaʊnd, wˈɛnt tˈuː d̪ʰən̪əɲd̪ʒɑːn̪ɪn̪ ðˈə bɹˈɑːmən.
60.wav| ˈand ˈat ðˈat tˈaɪm ðˈə lˈeɪ fˈɒləʊə s̪oːɳə koːʈɪkəɳɳə wˈɒz vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə's̪ səpˈɔːtə.
61.wav| ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə ɑːɭəʋiː bˈaɪ ˈeɪ kˈatəl tɹˈak ˈɪn ˈeɪ s̪ɪŋs̪əpɑː fˈɒɹɪst wˈeə ɦət̪t̪ʰəkə ˈɒv ɑːɭəʋiː, wˈɒz ˈaʊt ɹˈəʊmɪŋ ˈand ɹˈamblɪŋ fˈɔː ˈɛksəsˌaɪz,
62.wav| ðˈə d̪eːʋəs̪ ˈand t̪ət̪ʰɑːət̪əs̪ sˈiː ðˈə fˈuːl hˈuː ɡˈəʊz ɐbˈaʊt ˈɒf-pˈɪtʃ ˈɪn ðˈə kˈɒzmɒs.
63.wav| tˈuː s̪ɪɾɪʋəɖɖʰə. s̪ɪɾɪʋəɖɖʰə s̪ut̪t̪ə. s̪əŋjut̪t̪ə n̪ɪkɑːjə. fˈɔːti sˈɛvən: twˈɛnti nˈaɪn
64.wav| ʋɪs̪ɑːkʰɑː, mɪɑːɾə's̪ mˈʌðə, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈɪn ðˈə mˈɪdəl ˈɒv ðˈə dˈeɪ ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, sˈat tˈuː wˈɒn sˈaɪd.
65.wav| mˈastə t̪ʃəŋkiː ˈɪz hˈandsʌm, ɪnspˈaɪəɹɪŋ tˈuː lˈʊk ˈat, ɛndˈaʊd wˈɪð ðˈə fˈɔːməʊst bjˈuːti ˈɒv kəmplˈɛkʃən, wˈɪð ˈeɪ bɾəɦmɑː's̪ kəmplˈɛkʃən, ˈeɪ bɾəɦmɑː's̪ pɹˈɛzəns,
66.wav| ðˈə lˈɪsənə. s̪oːt̪ɑː s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈaɪv: wˈɒn hˈʌndɹɪd fˈɔːti
67.wav| 'tənˈaɪt, ʋɑːs̪ɪʈʈʰəs̪, ˈɪn ðˈə lˈast wˈɒtʃ ˈɒv ðˈə nˈaɪt, ðˈə tˈəʊtəl ʌnbˈaɪndɪŋ ˈɒv ðˈə t̪ət̪ʰɑːət̪ə wˈɪl əkˈɜː. kˈʌm ˈaʊt, ʋɑːs̪ɪʈʈʰəs̪! kˈʌm ˈaʊt, ʋɑːs̪ɪʈʈʰəs̪!
68.wav| ɹɪspˈɒndɪŋ, 'ˈaz jˈuː sˈeɪ, sˈɜː,' tˈuː ðˈə bɹˈɑːmən loːɦɪt̪ʃt̪ʃə, ɾoːs̪ɪkə ðˈə bˈɑːbə wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn ˈand, ˈɒn ɐɹˈaɪvəl, bˈaʊɪŋ dˈaʊn tˈuː hˈɪm, stˈʊd tˈuː wˈɒn sˈaɪd.
69.wav| hˈiː ˈɪz wˈaɪz, vˈɛnəɹəbəl t̪ʃɪt̪t̪ə ɦət̪t̪ʰɪs̪ɑːɾiːput̪t̪ə. hˈiː ˈɪz kˈeɪpəbəl ˈɒv dɪskˈʌsɪŋ hˈaɪə d̪ʰəmmə wˈɪð ðˈə ˈɛldə mˈʌŋks.
70.wav| 'sˈəʊ jˈuː ɹˈiəlɪ nˈəʊ, koːn̪d̪əɲɲə? sˈəʊ jˈuː ɹˈiəlɪ nˈəʊ?' ˈand ðˈat ˈɪz hˈaʊ vˈɛnəɹəbəl koːn̪d̪əɲɲə ɐkwˈaɪəd ðˈə nˈeɪm əɲɲə-koːn̪d̪əɲɲə–koːn̪d̪əɲɲə hˈuː nˈəʊz.
71.wav| [ðˈə bud̪d̪ʰə:] 'bˈʌt wˈɒt ˈɪz hˈɪz pɹˈɒpəti, uə? wˈɒt ˈɑː hˈɪz ɡɹˈeɪt tɹˈɛʒəz ˈand ɡɹˈeɪt ɹɪzˈɔːsɪz?'
73.wav| sˈəʊ vˈɛnəɹəbəl ɑːn̪ən̪d̪ə sˈɛd tˈuː s̪ubʰəd̪d̪ə ðˈə wˈɒndəɹə, 'ɡˈəʊ ɐhˈɛd, fɹˈɛnd s̪ubʰəd̪d̪ə. ðˈə blˈɛsɛd wˈɒn ɡˈɪvz jˈuː hˈɪz lˈiːv.'
74.wav| vˈɛnəɹəbəl ɾəʈʈʰəpɑːlə's̪ fˈɔːmə wˈaɪvz sˈɛd tˈuː hˈɪm, 'wˈɒt ˈɑː ðˈeɪ lˈaɪk, dˈiə mˈastə-sˈʌn: ðˈəʊz nˈɪmfz fˈɔː hˈuːz sˈeɪk jˈuː lˈiːd ðˈə hˈəʊli lˈaɪf?'
